name,abbreviation,locale,country,track_name,is_active,latitude,longitude
SHAWAN DOWNS,SHW,MD,US,SHAWAN DOWNS,,39.496871,-76.693411
SOLANO,SOL,CA,US,SOLANO,,,
SPORTSMAN'S PARK,SPT,,US,SPORTSMAN'S PARK,,,
STAMPEDE PARK,STP,AB,CA,STAMPEDE PARK,,,
STOCKTON,STK,CA,US,STOCKTON,,,
STONEYBROOK AT FIVE POINTS,STN,NC,US,STONEYBROOK AT FIVE POINTS,,35.015095,-79.366608
STRAWBERRY HILL,SH,VA,US,STRAWBERRY HILL,,37.487459,-77.008238
SUFFOLK DOWNS,SUF,MA,US,SUFFOLK DOWNS,1,42.39405,-70.99743
SUN DOWNS,SUD,WA,US,SUN DOWNS,,46.198191,-119.096603
SUNFLOWER,SND,BC,CA,SUNFLOWER,,49.477202,-120.489568
SUNLAND PARK,SUN,NM,US,SUNLAND PARK,1,31.863462,-106.650048
SUNRAY PARK,SRP,NM,US,SUNRAY PARK,,36.700081,-108.098688
SWEETWATER DOWNS,SWF,WY,US,SWEETWATER DOWNS,,41.637545,-109.248694
TAMPA BAY DOWNS,TAM,FL,US,TAMPA BAY DOWNS,1,28.062221,-82.641617
THE WOODLANDS,WDS,,US,THE WOODLANDS,,,
THISTLEDOWN,TDN,OH,US,THISTLEDOWN,1,41.435842,-81.531816
TILLAMOOK COUNTY FAIR,TIL,OR,US,TILLAMOOK COUNTY FAIR,,45.457241,-123.807592
TIMONIUM,TIM,MD,US,TIMONIUM,1,39.446732,-76.630154
TIOGA DOWNS,TGD,,US,TIOGA DOWNS,,,
TRYON,TRY,NC,US,TRYON,,35.236015,-82.082119
TURF PARADISE,TUP,AZ,US,TURF PARADISE,1,33.639907,-112.091744
TURFWAY PARK,TP,KY,US,TURFWAY PARK,1,39.024285,-84.635088
WAITSBURG RACE TRACK,WTS,WA,US,WAITSBURG RACE TRACK,,46.263027,-118.150578
WALLA WALLA,WW,WA,US,WALLA WALLA,,46.050182,-118.341808
WESTERN MT FAIR,WMF,MT,US,WESTERN MT FAIR,,46.848687,-114.01474
WHITE PINE RACING,ELY,NV,US,WHITE PINE RACING,,39.264158,-114.851246
WILL ROGERS DOWNS,WRD,OK,US,WILL ROGERS DOWNS,1,36.314589,-95.525211
WILLOWDALE STEEPLECHASE,WIL,PA,US,WILLOWDALE STEEPLECHASE,,39.878522,-75.714426
WINTERTHUR,WNT,DE,US,WINTERTHUR,,39.804844,-75.611687
WOODBINE,WO,ON,CA,WOODBINE,1,43.710727,-79.603457
WYOMING DOWNS,WYO,WY,US,WYOMING DOWNS,,,
YAKIMA MEADOWS,YM,,US,YAKIMA MEADOWS,,,
YAVAPAI DOWNS,YAV,AZ,US,YAVAPAI DOWNS,0,34.654321,-112.273836
YELLOWSTONE DOWNS,YD,MT,US,YELLOWSTONE DOWNS,,45.799067,-108.481922
ZIA PARK,ZIA,NM,US,ZIA PARK,1,32.751117,-103.18771
